grade	Gender	Age	contest	TotalScore	Awards	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23	ID24	ID25
9	 	14	2	82.5		C	E	B	E	B	D	B	D	D	B	E	.	.	E	D	.	.	.	A	.	.	.	.	.	.
8	F	13	0	82.5		C	E	D	B	E	B	D	B	E	A	D	D	D	.	.	.	.	D	.	.	.	.	.	.	.
10	 	15	0	82.5		C	E	D	B	E	B	D	B	E	B	.	C	.	D	.	.	E	.	.	A	.	.	.	.	.
9	 	14	0	82.5		C	E	D	B	B	B	D	B	E	B	A	D	D	C	D	.	B	B	C	.	A	.	D	C	C
12	F	17	2	82.5		C	E	B	E	A	D	B	D	.	D	.	A	.	.	.	B	B	.	B	.	D	.	.	.	.
9	M	14	0	82.5		C	E	D	B	B	B	D	B	E	D	E	D	D	.	.	D	.	.	.	.	.	.	.	.	.
12	M	17	2	82.5		C	E	B	E	B	D	B	.	.	D	E	C	.	.	.	.	.	.	.	.	.	.	.	.	.
9	M	14	0	82.5		C	E	C	B	E	B	D	B	E	B	D	D	D	B	.	D	B	E	.	.	.	.	.	D	.
10	H	15	0	81		C	E	A	B	B	B	D	A	E	B	B	D	D	B	C	D	D	A	.	.	A	.	.	.	.
10	P	15	0	81		C	E	D	B	E	B	D	B	E	B	B	C	D	.	.	E	.	B	.	.	.	.	.	.	.
10	M	15	0	81		C	E	.	B	E	B	D	B	E	B	E	C	D	.	C	C	.	B	.	.	.	.	.	.	.
11	F	15	2	81		C	E	B	E	B	D	B	D	.	C	E	C	.	.	.	.	.	.	.	.	.	.	.	.	.
11	M	15	2	81		C	E	B	E	B	D	B	C	C	D	E	B	A	E	.	.	A	.	.	.	.	.	.	.	.
10	 	15	0	81		C	E	B	B	E	B	D	B	E	B	E	D	D	C	C	B	E	D	.	.	.	.	.	A	.
9	M	14	0	81		C	E	.	.	E	B	D	B	E	B	B	.	D	.	.	.	.	C	.	.	.	.	.	.	.
11	 	16	2	79.5		C	E	B	B	B	D	A	C	B	D	E	C	C	B	D	.	B	D	B	C	.	D	.	.	.
10	 	0	0	79.5		C	E	D	B	E	B	D	B	E	B	C	C	C	B	D	D	.	.	.	.	.	.	.	.	.
9	 	14	0	79.5		C	E	A	B	E	B	D	B	E	B	A	D	C	C	A	C	.	.	.	.	.	.	.	.	.
11	M	16	2	79.5		C	E	B	E	B	D	B	E	C	C	.	.	.	E	.	D	B	E	B	.	.	E	.	.	.
10	F	14	0	79.5		C	E	D	B	E	B	D	B	E	B	C	D	C	C	B	D	C	A	D	D	.	.	.	.	.
11	F	16	2	78		C	E	B	E	B	D	B	D	.	D	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10	H	15	0	78		C	E	E	B	E	B	D	B	E	D	.	D	.	.	C	.	.	B	.	.	.	.	.	.	.
12	F	17	2	78		C	E	B	E	B	D	B	B	E	D	E	B	C	.	.	.	.	.	.	.	.	.	.	.	.
11	F	16	2	78		C	E	B	E	B	D	B	D	.	.	E	.	.	.	.	.	.	.	.	.	.	.	.	.	.
11	 	16	2	78		C	E	B	E	B	D	.	C	.	B	E	.	.	.	D	B	.	.	.	.	C	C	.	.	.
11	F	15	2	78		C	E	B	E	B	D	C	B	B	D	A	B	A	C	C	C	B	D	B	A	C	C	C	E	E
11	M	16	2	78		C	E	B	B	B	D	B	C	.	D	.	B	.	.	.	.	B	.	.	.	C	D	.	.	.
11	 	0	2	78		A	E	B	E	B	D	B	D	.	A	E	C	.	D	.	B	.	.	.	.	.	.	.	.	.
10	 	15	0	78		C	E	.	B	E	B	D	B	E	B	.	B	D	B	D	.	.	.	.	.	.	.	.	.	.
10	 	15	0	78		C	E	A	B	E	B	D	B	E	B	E	D	C	.	.	.	.	.	.	.	.	.	.	.	.
10	 	15	0	76.5		C	E	D	B	E	B	D	B	E	B	.	C	E	E	.	.	.	.	.	A	.	.	.	.	.
8	 	13	0	76.5		C	E	A	B	E	B	D	B	E	B	B	A	D	C	.	D	B	E	.	E	.	.	.	.	.
9	H	14	0	76.5		C	E	A	B	E	B	D	A	E	B	B	D	D	.	C	E	C	B	.	.	.	.	.	A	.
10	 	15	0	76.5		C	E	.	B	E	B	D	B	E	B	.	.	.	.	.	.	.	A	.	.	.	.	.	.	.
12	 	17	2	76.5		C	E	B	E	B	D	B	D	.	D	A	.	.	.	.	.	.	.	.	.	.	.	.	.	.
10	F	15	0	76.5		C	E	C	B	E	B	D	B	D	E	E	A	B	B	C	E	D	C	B	A	.	B	D	.	.
10	H	0	0	76.5		C	E	A	B	E	B	D	B	E	B	E	.	.	C	.	B	D	.	.	.	.	.	.	.	.
11	F	16	2	76.5		C	E	B	E	B	D	B	.	E	B	.	.	A	.	.	.	.	.	.	.	.	.	.	.	.
9	 	14	0	76.5		C	E	C	B	E	B	D	B	E	B	B	D	.	B	.	.	.	A	.	.	.	.	.	.	.
12	M	17	2	76.5		C	E	B	E	B	D	B	C	C	D	E	C	C	B	.	.	.	.	.	.	.	.	.	.	.
10	F	15	0	75		A	E	D	B	E	B	D	B	E	B	E	B	E	.	.	A	.	.	.	B	.	.	.	.	.
9	 	14	0	75		C	E	A	B	E	B	D	A	E	E	.	.	D	.	.	D	A	A	.	.	E	.	.	.	.
9	M	0	0	75		C	E	.	B	E	B	D	B	E	D	.	D	D	C	.	B	C	E	.	.	.	.	.	.	.
